"id"	"prob"
40625	0.99
14191	0.32
5011	0.01
23277	1
29766	0
10295	0.03
36354	0.07
4688	0.82
15064	1
40064	0.92
9192	0.7
921	0
36266	0.72
4194	0.94
317	0.11
39884	1
14543	0
10821	0.96
38628	0.77
22374	0.03
15099	0
30860	0
18803	0.01
35304	1
46052	0.98
39320	0.91
36190	0.93
18383	0.27
3204	1
5981	0.04
44840	0.9
1850	0.98
5794	0.47
3721	0.84
18702	0.98
41183	0
14851	0.99
8309	0.96
2547	0
40386	0.94
40796	0.98
11416	0.97
38327	0.77
39298	0.28
7332	0
13010	0.29
10096	0
821	1
27033	0.98
43034	0.01
1979	0.85
40027	0.8
32043	0.02
19579	0.71
19023	0
3520	1
33984	0
27925	0.99
14180	0.99
44388	0.02
27448	1
31313	0.98
33015	0
16918	0.01
32555	0.14
41118	0
38497	0.99
15765	0.09
16117	1
12853	0.98
49945	0.74
40692	0
45627	1
15587	0.52
2587	0.08
46670	0
25141	0.26
48381	1
37403	0.04
48933	0.94
38037	0
38847	0.17
17374	0.04
12330	0.89
46193	0.68
30011	0
3872	0.06
44803	0.44
49156	0.95
49197	0.98
16584	0
15409	1
28493	0.64
8074	0.07
13228	0.03
18906	0.69
38719	0.74
20570	0.96
14311	0
36777	1
43208	0.08
15510	1
27778	1
20452	1
7789	0.67
44199	0
20987	0
11165	0.99
18633	0
28051	1
49668	0
49046	0.41
29022	1
11029	1
1567	0.07
45385	0.98
5759	0.54
47843	0.99
33768	0.07
39373	0.04
30957	0.96
9105	0.02
18148	0.98
18479	0.95
20095	1
2963	0.84
30783	0.15
2690	1
34501	0
21048	0.32
35976	0.01
42624	0.81
4611	0
26068	0.89
49122	0.8
608	0.27
14574	0.98
47297	0.95
14477	0.53
2749	0.99
37426	0
46001	0
5872	0
45825	0
23160	0.92
35116	0.99
39212	0.97
23426	0
29502	0.83
4601	0
3037	0.57
34344	0.11
40221	0.05
7249	0
21071	0
31893	0.97
49109	0
39295	0
37477	0
37851	0.15
3281	0.11
7501	0
37811	0.05
17990	0.99
31462	0.99
7395	0.69
41805	0.01
22067	0
17652	0.98
33813	0.67
25729	0.99
49449	1
5168	0
47555	0.98
41581	0.09
1751	0.98
24823	0.98
35076	0
23934	0.83
42286	0.98
38908	0.11
46736	0.97
49894	0
43417	0.97
27874	0.86
35115	0
41034	0.01
49871	0.02
16264	0.26
11007	0.02
36886	0
33909	1
23092	0.27
47573	0.02
44278	0.08
31829	0
5706	0.01
28733	0.18
2272	1
33993	1
10579	0
22371	0.76
24215	0.01
39089	0.99
8700	0
22766	0.02
14800	0.92
23846	0.8
16472	0.82
18773	1
35208	0
37720	0
6532	0.24
445	0
34462	0
49176	0
8549	0
23670	0
26419	0.99
13872	0.45
29351	0.99
13652	0
16087	0
49124	1
22665	0
40558	0.02
36392	0
16648	1
13240	0.48
43160	0.64
26151	0.04
27657	0.18
19734	1
7801	0
41590	0.98
16115	0
18001	0.77
4691	1
25943	0
10129	0.82
17075	0
9746	0.13
37357	0.94
46790	0.87
31916	0
45496	0.05
32000	0
5822	0.18
1654	0
6502	0.81
9977	0.69
42101	0.98
37812	0
18282	0.19
7646	0.97
36828	0.23
48286	0.97
23483	0.02
4604	0
9899	0
18930	0.59
4702	0.03
23547	0.94
45161	0.82
44877	0.02
2185	0.98
4398	0.74
7343	0.52
45419	0.26
2367	0.89
10217	0.99
25596	0.73
28521	0
9230	0.99
27916	0.98
35184	0.59
38386	0.23
17414	1
39168	1
39753	0
28212	0.9
39698	0.98
15666	0.96
20470	0.96
48447	0
15508	0.99
19498	0
26187	0
6738	0.99
30262	0.01
35122	0.05
22706	0.95
13929	1
1506	0
33658	1
11714	0.16
6045	0.98
46141	0.99
34930	0.49
26376	0.97
13922	0.03
33012	1
21450	0.9
23651	0.93
41571	0
34246	0.49
19391	0.03
10635	0
26697	1
19061	0.09
13479	0.06
28079	0.9
35341	0.72
10977	1
19359	1
19633	0.03
28784	0.88
29241	0.99
43319	1
6347	1
6878	0.5
21094	0.01
30794	0.93
19272	0.82
43845	0.99
11785	0.87
5368	0.67
33362	0
8031	0
41532	0.19
38341	0.76
19616	0.93
40790	0.01
36797	1
37205	1
1050	0.96
44631	1
19513	0
35712	0.99
43785	0.31
15334	0.48
26494	0.01
43173	0
30186	0.08
7647	0.1
10189	0.99
28000	0.23
6888	0
25428	0.02
31599	1
42845	0.01
17943	1
49254	0.12
1074	1
26663	0.49
36530	0.99
17840	0.16
33228	0.95
37143	0.99
22829	0.54
4036	0
17006	0
29787	0.9
31184	0.97
11191	0
28294	0.98
45700	0
43168	0.86
14534	1
37077	0.95
28585	0.4
12293	1
34749	0.43
41210	0.98
17818	0.06
47694	0.31
19247	1
19492	1
45538	0.98
26830	0.03
22891	0.98
18556	1
22768	0.99
34350	0.72
7693	1
42158	0.94
11619	0.01
29777	0.41
35062	0.01
45896	0.59
37729	0.53
34872	0.99
12599	0.23
27170	0.97
27962	0.02
35129	0.37
8216	0
22923	1
4591	0.25
17412	1
44015	0.99
48782	0.71
39880	0
5542	0.13
24068	0.8
35977	0.94
254	0.57
20704	0.98
37900	0.02
6556	0.98
37898	0.99
30408	0.04
34567	0.98
22514	1
17563	1
16632	0
19685	0.87
7085	1
1691	1
44914	0.15
7105	0.16
10270	0.01
37176	0.99
48736	0.14
31860	0.94
46548	0.68
3645	0.21
10013	1
49126	0.16
6417	0.11
33675	0.95
8813	0.6
30639	0.5
2069	0.96
21451	0.64
17549	0.01
39578	0
7079	0.48
8848	0.99
5964	0.49
8139	0.61
12371	0.76
42912	0.41
8256	0
42927	0.95
23558	0.5
5594	0.01
1602	0.98
33581	0.97
15604	0.96
30287	0.01
42098	0.64
31390	0
23804	0
49882	0
3239	0.48
41268	0.05
49669	0.83
22562	0.02
20520	0.69
15583	0
16780	0.58
49132	1
29191	1
21685	0
44411	0
25561	0.76
42864	0
25143	0
19268	0
26753	0.03
21859	1
37445	0.02
12950	0.99
23020	0.82
44427	0.37
35270	0.52
791	0
37972	0.97
12061	0.99
13877	1
29594	0.01
41102	0.99
29956	0.45
28019	0.3
23567	0.93
7247	0.95
47142	0.99
33417	0.18
36642	0.07
24146	0.91
3171	0.07
28859	0.99
20936	0.97
4235	0.65
33649	0
18872	0.98
31318	0.99
3995	1
28355	0.92
46755	0.01
46526	0.71
27812	0.13
12971	0.14
36700	1
33113	0.99
4546	1
31692	0
26766	0
6430	0.02
27423	1
5854	1
38483	0.93
21334	0.02
38089	0.78
35251	0.99
19681	0
41352	1
